TweetID, Weekday, Hour, Day, Lang, IsReshare, Reach, RetweetCount, Likes, Klout, Sentiment, text, LocationID, UserID
tw-685908242124292096,Saturday,12.0,9.0,en,False,450720.0,64.0,77.0,71.0,0.0,Export your API from API Gateway with the API Gateway Console or Export API. How to: http://docs.aws.amazon.com/apigateway/latest/developerguide/create-api-using-import-export-api.html?adbsc=docs_20160109_57000406&adbid=685908242124292096&adbpl=tw&adbpr=66780587#api-gateway-use-import-export-api http://twitter.com/awscloud/status/685908242124292096/photo/1,3751.0,tw-66780587
tw-704806363331842048,Tuesday,16.0,1.0,en,False,520415.0,54.0,75.0,72.0,0.0,New #AWS Config Rules now available on GitHub. https://aws.amazon.com/about-aws/whats-new/2016/03/new-aws-config-rules-repository-on-github-with-sample-rules/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=config_rules_on_github&sc_country=global&sc_geo=global&sc_category=config&adbsc=social_20160301_58851236&adbid=704806363331842048&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/704806363331842048/photo/1,3751.0,tw-66780587
tw-693509996332453888,Saturday,12.0,30.0,en,False,477222.0,61.0,74.0,71.0,0.0,The Amazon ECS-optimized AMI now ships with #Docker 1.9. Learn more: http://docs.aws.amazon.com/AmazonECS/latest/developerguide/container_agent_versions.html?adbsc=docs_20160130_57602156 http://twitter.com/awscloud/status/693509996332453888/photo/1,3751.0,tw-66780587
tw-684147581732012034,Monday,16.0,4.0,en,False,447012.0,61.0,72.0,72.0,1.5,Amazon WorkMail is now available  secure managed email &amp; calendar solution for business. https://aws.amazon.com/blogs/aws/amazon-workmail-now-generally-available/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=workmail_ga&sc_country=global&sc_geo=global&sc_category=workmail&adbsc=social_launches_20160104_56939456&adbid=684147581732012034&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/684147581732012034/photo/1,3751.0,tw-66780587
tw-703354928354295808,Friday,16.0,26.0,en,False,514935.0,58.0,72.0,72.0,1.0,Get started using #DynamoDB with these self-paced Labs free until March 31st! https://dynamodb-run.qwiklabs.com/?adbsc=social_20160226_58721486&adbid=703354928354295808&adbpl=tw&adbpr=66780587#section-4&utm_source=ddbtweet&utm_medium=social&utm_campaign=dynamodb-run http://twitter.com/awscloud/status/703354928354295808/photo/1,3751.0,tw-66780587
tw-683724013797965824,Sunday,11.0,3.0,en,False,446962.0,69.0,70.0,72.0,0.0,Copy AMIs from another AWS account in the same region or across regions. Learn more: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/CopyingAMIs.html?adbsc=docs_20160103_56664646&adbid=683724013797965824&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/683724013797965824/photo/1,3751.0,tw-66780587
tw-688808352969703425,Sunday,12.0,17.0,en,False,460888.0,39.0,70.0,71.0,0.0,Import your API to API Gateway with the API Importer. How to: http://docs.aws.amazon.com/apigateway/latest/developerguide/create-api-using-import-export-api.html?adbsc=docs_20160117_57000856&adbid=688808352969703425&adbpl=tw&adbpr=66780587#api-gateway-use-import-export-api http://twitter.com/awscloud/status/688808352969703425/photo/1,3751.0,tw-66780587
tw-714934156539486209,Tuesday,15.0,29.0,en,False,554158.0,50.0,70.0,72.0,0.0,How to detect and automatically revoke unintended IAM access with Amazon CloudWatch Events: http://blogs.aws.amazon.com/security/post/Tx2XGINRKCK9XNS/How-to-Detect-and-Automatically-Revoke-Unintended-IAM-Access-with-Amazon-CloudWa http://twitter.com/awscloud/status/714934156539486209/photo/1,3751.0,tw-66780587
tw-687372968268152832,Wednesday,13.0,13.0,en,False,456023.0,78.0,69.0,71.0,2.0,Amazon ECS now supports #Docker 1.9! https://aws.amazon.com/about-aws/whats-new/2016/01/amazon-ec2-container-service-supports-docker-1-9/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=docker19&sc_country=global&sc_geo=global&sc_category=ecs&adbsc=social_launches_20160113_57231396 http://twitter.com/awscloud/status/687372968268152832/photo/1,3751.0,tw-66780587
tw-712655398575034368,Wednesday,9.0,23.0,en,False,546608.0,48.0,69.0,73.0,2.0,How to use the new AWS Encryption SDK to simplify data encryption and improve availability: http://blogs.aws.amazon.com/security/post/TxGBG3U5VUS2HY/How-to-Use-the-New-AWS-Encryption-SDK-to-Simplify-Data-Encryption-and-Improve-Ap?adbsc=social_20160323_59667316&adbid=712655398575034368&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/712655398575034368/photo/1,3751.0,tw-66780587
tw-686986102939361280,Tuesday,12.0,12.0,en,False,454637.0,60.0,68.0,71.0,1.0,Now available: new free #AWSTraining intro video &amp; lab for Amazon Elasticsearch service. https://aws.amazon.com/training/intro_series/?adbsc=social_20160112_57014156&adbid=686986102939361280&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/686986102939361280/photo/1,3751.0,tw-66780587
tw-692520480994123776,Wednesday,18.0,27.0,en,False,473606.0,50.0,68.0,71.0,1.0,S3 tips: locked buckets protected buckets data transfer optimization &amp; more. https://aws.amazon.com/premiumsupport/knowledge-center/?adbsc=docs_20160128_57448316#s3 http://twitter.com/awscloud/status/692520480994123776/photo/1,3751.0,tw-66780587
tw-694702660344107008,Tuesday,19.0,2.0,en,False,481999.0,62.0,67.0,71.0,0.0,AWS #BigData Blog month in review: http://blogs.aws.amazon.com/bigdata/post/Tx2FSM44GJMR0DR/Month-in-Review-January-2016?adbsc=social_blogs_20160203_57847816 http://twitter.com/awscloud/status/694702660344107008/photo/1,3751.0,tw-66780587
tw-695385471682158592,Thursday,16.0,4.0,en,False,484750.0,65.0,65.0,71.0,0.0,Use ACM to easily provision manage &amp; deploy SSL/TLS certificates with AWS services: https://docs.aws.amazon.com/acm/latest/userguide/acm-overview.html?adbsc=docs_20160204_57687776 http://twitter.com/awscloud/status/695385471682158592/photo/1,3751.0,tw-66780587
tw-687771685118840832,Thursday,16.0,14.0,en,False,457264.0,60.0,64.0,71.0,0.0,Encrypt all of your EC2 instance data with encrypted EBS boot volumes. Learn more: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html?adbsc=docs_20160114_56967016 http://twitter.com/awscloud/status/687771685118840832/photo/1,3751.0,tw-66780587
tw-689945062646628352,Wednesday,15.0,20.0,en,False,464710.0,32.0,64.0,71.0,0.0,Tutorial: Learn to install an Apache web server with PHP &amp; an RDS MySQL DB instance: http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/TUT_WebAppWithRDS.html?adbsc=docs_20160120_57239536&adbid=689945062646628352&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/689945062646628352/photo/1,3751.0,tw-66780587
